benchmark,suite,n_ant,n_beam,n_ch,n_time,K,batch,n_dm,ch_fuse,n_batch,total_mean_ms,throughput_hz,beams_per_ch_sec,tflops,speedup,streams
dedisp_1600ch_1000dm_b64,dedisp,,64,1600,256,1600,513,1000,,,38.96,1642.8,,1.3,1.54,single
dedisp_1600ch_2000dm_b128,dedisp,,128,1600,256,1600,513,2000,,,95.16,1345.1,,2.2,1.78,single
dedisp_1600ch_2000dm_b16,dedisp,,16,1600,256,1600,513,2000,,,36.35,440.1,,0.7,2.51,single
dedisp_1600ch_2000dm_b256,dedisp,,256,1600,256,1600,513,2000,,,159.30,1607.0,,2.6,2.05,single
dedisp_1600ch_2000dm_b32,dedisp,,32,1600,256,1600,513,2000,,,45.17,708.4,,1.2,2.01,single
dedisp_1600ch_2000dm_b64,dedisp,,64,1600,256,1600,513,2000,,,63.22,1012.3,,1.7,1.72,single
dedisp_1600ch_2000dm_b64_pipe,dedisp,,64,1600,256,1600,513,2000,,,62.31,1027.1,,1.7,0.98,pipelined
dedisp_1600ch_512dm_b64,dedisp,,64,1600,256,1600,513,512,,,26.98,2372.2,,1.0,1.35,single
visbf_16ch_K128,visbf,1664,6000000,16,256,128,64,,,,160.33,6.2,3.74e+07,1.1,,single
visbf_1ch_K128,visbf,1664,6000000,1,256,128,4,,,,10.24,97.7,5.86e+08,1.1,,single
visbf_1ch_K256,visbf,1664,6000000,1,512,256,4,,,,10.21,97.9,5.88e+08,2.2,,single
visbf_1ch_K64,visbf,1664,6000000,1,128,64,4,,,,10.14,98.6,5.92e+08,0.6,,single
visbf_2ch_K128,visbf,1664,6000000,2,256,128,8,,,,19.88,50.3,3.02e+08,1.1,,single
visbf_32ch_K128,visbf,1664,6000000,32,256,128,128,,,,322.84,3.1,1.86e+07,1.1,,single
visbf_4ch_K128,visbf,1664,6000000,4,256,128,16,,,,40.20,24.9,1.49e+08,1.1,,single
visbf_8ch_K128,visbf,1664,6000000,8,256,128,32,,,,80.67,12.4,7.44e+07,1.1,,single
voltbf_16ch,voltbf,1664,4096,16,4000,1664,16,,,,207.53,4.8,1.97e+04,62.3,,single
voltbf_1ch,voltbf,1664,4096,1,4000,1664,1,,,,17.30,57.8,2.37e+05,32.3,,single
voltbf_2ch,voltbf,1664,4096,2,4000,1664,2,,,,34.43,29.0,1.19e+05,31.9,,single
voltbf_32ch,voltbf,1664,4096,32,4000,1664,32,,,,641.02,1.6,6.39e+03,58.8,,single
voltbf_4ch,voltbf,1664,4096,4,4000,1664,4,,,,44.56,22.4,9.19e+04,60.1,,single
voltbf_8ch,voltbf,1664,4096,8,4000,1664,8,,,,91.71,10.9,4.47e+04,61.9,,single
voltbf_M10240,voltbf,1664,4096,1,10240,1664,1,,,,46.94,21.3,8.73e+04,32.0,,single
voltbf_M12288,voltbf,1664,4096,1,12288,1664,1,,,,56.78,17.6,7.21e+04,32.2,,single
voltbf_M14336,voltbf,1664,4096,1,14336,1664,1,,,,67.93,14.7,6.03e+04,32.3,,single
voltbf_M16384,voltbf,1664,4096,1,16384,1664,1,,,,78.65,12.7,5.21e+04,32.1,,single
voltbf_M4096,voltbf,1664,4096,1,4096,1664,1,,,,17.74,56.4,2.31e+05,32.1,,single
voltbf_M6144,voltbf,1664,4096,1,6144,1664,1,,,,26.88,37.2,1.52e+05,32.0,,single
voltbf_M8192,voltbf,1664,4096,1,8192,1664,1,,,,36.74,27.2,1.11e+05,32.0,,single
voltbf_short_cf2,voltbf,1664,4096,1600,8,1664,800,,2,1,200.71,5.0,2.04e+04,7.1,,single
voltbf_short_cf4,voltbf,1664,4096,1600,8,1664,400,,4,1,114.09,8.8,3.59e+04,12.6,,single
voltbf_short_cf8,voltbf,1664,4096,1600,8,1664,200,,8,1,71.49,14.0,5.73e+04,20.6,,single
voltbf_short_cf8_nb16,voltbf,1664,4096,1600,8,1664,200,,8,16,556.52,28.8,1.18e+05,51.2,,single
voltbf_short_cf8_nb2,voltbf,1664,4096,1600,8,1664,200,,8,2,98.29,20.3,8.33e+04,30.8,,single
voltbf_short_cf8_nb4,voltbf,1664,4096,1600,8,1664,200,,8,4,153.93,26.0,1.06e+05,40.8,,single
voltbf_short_cf8_nb8,voltbf,1664,4096,1600,8,1664,200,,8,8,276.77,28.9,1.18e+05,47.1,,single
voltbf_short_unfused,voltbf,1664,4096,200,8,1664,200,,,,50.30,19.9,8.14e+04,3.7,,single
