benchmark,mode,total_ms,per_payload_ms,throughput_hz,speedup
dedisp_1600ch_2000dm_b64_pipe,Serial,41.2,5.15,194.25,0.99
dedisp_1600ch_2000dm_b64_pipe,Pipelined,41.5,5.19,192.79,0.99
