benchmark,suite,stage,min_ms,mean_ms,std_ms,pct_total
voltbf_short_cf8_nb2,voltbf,gemm_pol1,3.66,3.78,0.06,43.4
voltbf_short_cf8_nb2,voltbf,time_integrate,0.61,0.62,0.00,7.1
voltbf_short_cf8_nb4,voltbf,fused_transpose_fp8,1.27,1.27,0.00,8.0
voltbf_short_cf8_nb4,voltbf,gemm_pol0,6.52,6.59,0.03,41.3
voltbf_short_cf8_nb4,voltbf,gemm_pol1,6.77,6.83,0.04,42.7
voltbf_short_cf8_nb4,voltbf,time_integrate,1.21,1.29,0.07,8.1
voltbf_short_cf8_nb8,voltbf,fused_transpose_fp8,2.53,2.53,0.00,8.0
voltbf_short_cf8_nb8,voltbf,gemm_pol0,12.59,12.69,0.09,40.0
voltbf_short_cf8_nb8,voltbf,gemm_pol1,12.97,13.09,0.07,41.3
voltbf_short_cf8_nb8,voltbf,time_integrate,2.72,3.39,0.24,10.7
voltbf_short_unfused,voltbf,qc_transpose,0.02,0.02,0.00,0.4
voltbf_short_unfused,voltbf,gemm_pol0,2.06,2.07,0.00,48.1
voltbf_short_unfused,voltbf,gemm_pol1,2.07,2.07,0.00,48.3
voltbf_short_unfused,voltbf,time_integrate,0.05,0.05,0.00,1.1
voltbf_short_unfused,voltbf,corner_turn,0.09,0.09,0.00,2.1
