benchmark,stage,type,gb10_ms,gh200_ms,observed_speedup,gb200_ms,gb200_lo,gb200_hi,vr200_ms,vr200_lo,vr200_hi
voltbf_M10240,corner_turn,memory,5.300,1.700,3.12,0.581,0.284,1.114,0.358,0.117,0.823
voltbf_M12288,qc_transpose,memory,1.840,0.290,6.34,0.141,0.099,0.190,0.087,0.041,0.140
voltbf_M12288,gemm_pol0,cutlass_gemm,13.730,5.330,2.58,1.257,0.504,2.936,0.393,0.105,1.101
voltbf_M12288,gemm_pol1,cutlass_gemm,27.870,7.140,3.90,2.072,1.024,3.933,0.648,0.213,1.475
voltbf_M12288,time_integrate,memory,7.110,0.440,16.16,0.343,0.173,0.636,0.211,0.071,0.470
voltbf_M12288,corner_turn,memory,6.220,2.040,3.05,0.690,0.334,1.337,0.425,0.137,0.987
voltbf_M14336,qc_transpose,memory,2.240,0.340,6.59,0.169,0.120,0.223,0.104,0.049,0.165
voltbf_M14336,gemm_pol0,cutlass_gemm,16.040,6.220,2.58,1.467,0.589,3.426,0.459,0.123,1.285
voltbf_M14336,gemm_pol1,cutlass_gemm,32.410,8.280,3.91,2.407,1.191,4.561,0.752,0.248,1.710
voltbf_M14336,time_integrate,memory,9.860,0.490,20.12,0.426,0.193,0.882,0.262,0.079,0.651
voltbf_M14336,corner_turn,memory,7.390,2.380,3.11,0.812,0.397,1.560,0.500,0.163,1.152
voltbf_M16384,qc_transpose,memory,2.600,0.380,6.84,0.193,0.140,0.249,0.118,0.057,0.184
voltbf_M16384,gemm_pol0,cutlass_gemm,18.340,7.100,2.58,1.676,0.674,3.911,0.524,0.140,1.467
voltbf_M16384,gemm_pol1,cutlass_gemm,37.360,9.380,3.98,2.750,1.373,5.167,0.859,0.286,1.937
voltbf_M16384,time_integrate,memory,11.690,0.630,18.56,0.526,0.248,1.046,0.323,0.102,0.772
voltbf_M16384,corner_turn,memory,8.670,2.720,3.19,0.941,0.465,1.782,0.579,0.191,1.316
voltbf_M4096,qc_transpose,memory,0.450,0.090,5.00,0.039,0.024,0.059,0.024,0.010,0.044
voltbf_M4096,gemm_pol0,cutlass_gemm,4.680,1.830,2.56,0.430,0.172,1.008,0.134,0.036,0.378
voltbf_M4096,gemm_pol1,cutlass_gemm,9.210,2.530,3.64,0.709,0.338,1.394,0.222,0.070,0.523
voltbf_M4096,time_integrate,memory,1.300,0.130,10.00,0.080,0.051,0.116,0.049,0.021,0.086
voltbf_M4096,corner_turn,memory,2.090,0.680,3.07,0.231,0.112,0.446,0.142,0.046,0.329
voltbf_M6144,qc_transpose,memory,0.680,0.150,4.53,0.062,0.036,0.098,0.038,0.015,0.073
voltbf_M6144,gemm_pol0,cutlass_gemm,6.930,2.720,2.55,0.638,0.255,1.498,0.199,0.053,0.562
voltbf_M6144,gemm_pol1,cutlass_gemm,14.000,3.750,3.73,1.064,0.514,2.066,0.333,0.107,0.775
voltbf_M6144,time_integrate,memory,2.180,0.200,10.90,0.128,0.079,0.195,0.079,0.032,0.144
voltbf_M6144,corner_turn,memory,3.090,1.020,3.03,0.344,0.166,0.668,0.212,0.068,0.494
voltbf_M8192,qc_transpose,memory,0.880,0.190,4.63,0.079,0.047,0.125,0.049,0.019,0.092
voltbf_M8192,gemm_pol0,cutlass_gemm,9.180,3.600,2.55,0.845,0.337,1.983,0.264,0.070,0.744
voltbf_M8192,gemm_pol1,cutlass_gemm,18.730,4.910,3.81,1.409,0.688,2.704,0.440,0.143,1.014
voltbf_M8192,time_integrate,memory,3.790,0.280,13.54,0.200,0.110,0.339,0.123,0.045,0.250
